PERMNO,date,TICKER,RET,vwretd
14593,2019-11-13,AAPL,0.009582,0.000337
14593,2019-11-14,AAPL,-0.006919,0.000987
14593,2019-11-15,AAPL,0.011879,0.007074
14593,2019-11-18,AAPL,0.005042,0.000148
14593,2019-11-19,AAPL,-0.003033,0.000027
14593,2019-11-20,AAPL,-0.011641,-0.002962
14593,2019-11-21,AAPL,-0.004483,-0.001708
14593,2019-11-22,AAPL,-0.000878,0.002020
14593,2019-11-25,AAPL,0.017534,0.008560
14593,2019-11-26,AAPL,-0.007809,0.002218
14593,2019-11-27,AAPL,0.013432,0.004320
14593,2019-11-29,AAPL,-0.002203,-0.004045
14593,2019-12-02,AAPL,-0.011562,-0.008547
14593,2019-12-03,AAPL,-0.017830,-0.005643
14593,2019-12-04,AAPL,0.008826,0.006030
14593,2019-12-05,AAPL,0.014671,0.001102
14593,2019-12-06,AAPL,0.019316,0.008432
14593,2019-12-09,AAPL,-0.014000,-0.002700
14593,2019-12-10,AAPL,0.005844,-0.000696
14593,2019-12-11,AAPL,0.008529,0.002740
14593,2019-12-12,AAPL,0.002548,0.007859
14593,2019-12-13,AAPL,0.013593,0.000027
14593,2019-12-16,AAPL,0.017118,0.007073
14593,2019-12-17,AAPL,0.001965,0.000547
14593,2019-12-18,AAPL,-0.002389,0.000228
14593,2019-12-19,AAPL,0.001001,0.004192
14593,2019-12-20,AAPL,-0.002071,0.004534
14593,2019-12-23,AAPL,0.016318,0.000956
14593,2019-12-24,AAPL,0.000951,0.000380
14593,2019-12-26,AAPL,0.019840,0.004616
14593,2019-12-27,AAPL,-0.000379,-0.000643
14593,2019-12-30,AAPL,0.005935,-0.005105
14593,2019-12-31,AAPL,0.007307,0.002964
14593,2020-01-02,AAPL,0.022816,0.007412
14593,2020-01-03,AAPL,-0.009722,-0.005828
14593,2020-01-06,AAPL,0.007968,0.003269
14593,2020-01-07,AAPL,-0.004703,-0.002147
14593,2020-01-08,AAPL,0.016086,0.004028
14593,2020-01-09,AAPL,0.021241,0.005831
14593,2020-01-10,AAPL,0.002261,-0.002578
14593,2020-01-13,AAPL,0.021364,0.007077
14593,2020-01-14,AAPL,-0.013503,-0.000394
14593,2020-01-15,AAPL,-0.004286,0.001938
14593,2020-01-16,AAPL,0.012526,0.008389
14593,2020-01-17,AAPL,0.011071,0.002523
14593,2020-01-21,AAPL,-0.006777,-0.003027
14593,2020-01-22,AAPL,0.003570,0.000376
14593,2020-01-23,AAPL,0.004816,0.001000
14593,2020-01-24,AAPL,-0.002882,-0.008836
14593,2020-01-27,AAPL,-0.029405,-0.014872
14593,2020-01-28,AAPL,0.028289,0.009614
14593,2020-01-29,AAPL,0.020932,-0.001160
14593,2020-01-30,AAPL,-0.001449,0.002780
14593,2020-01-31,AAPL,-0.044339,-0.016642
14593,2020-02-03,AAPL,-0.002746,0.007562
14593,2020-02-04,AAPL,0.033014,0.014853
14593,2020-02-05,AAPL,0.008154,0.009336
14593,2020-02-06,AAPL,0.011697,0.002601
14593,2020-02-07,AAPL,-0.013560,-0.005527
14593,2020-02-10,AAPL,0.004750,0.006756
14593,2020-02-11,AAPL,-0.006033,0.003402
14593,2020-02-12,AAPL,0.023748,0.006406
14593,2020-02-13,AAPL,-0.007121,-0.000773
14593,2020-02-14,AAPL,0.000246,0.001660
14593,2020-02-18,AAPL,-0.018311,-0.001944
14593,2020-02-19,AAPL,0.014483,0.005179
14593,2020-02-20,AAPL,-0.010259,-0.002604
14593,2020-02-21,AAPL,-0.022635,-0.009789
14593,2020-02-24,AAPL,-0.047500,-0.031760
14593,2020-02-25,AAPL,-0.033872,-0.029476
14593,2020-02-26,AAPL,0.015864,-0.005395
14593,2020-02-27,AAPL,-0.065368,-0.040987
14593,2020-02-28,AAPL,-0.000585,-0.008552
14593,2020-03-02,AAPL,0.093101,0.040304
14593,2020-03-03,AAPL,-0.031759,-0.024635
14593,2020-03-04,AAPL,0.046385,0.037552
14593,2020-03-05,AAPL,-0.032437,-0.031529
14593,2020-03-06,AAPL,-0.013280,-0.017785
14593,2020-03-09,AAPL,-0.079092,-0.079317
14593,2020-03-10,AAPL,0.072022,0.044398
14593,2020-03-11,AAPL,-0.034731,-0.049958
14593,2020-03-12,AAPL,-0.098755,-0.096841
14593,2020-03-13,AAPL,0.119808,0.085502
14593,2020-03-16,AAPL,-0.128647,-0.118168
14593,2020-03-17,AAPL,0.043970,0.053074
14593,2020-03-18,AAPL,-0.024480,-0.059610
14593,2020-03-19,AAPL,-0.007662,0.014319
14593,2020-03-20,AAPL,-0.063486,-0.037156
14593,2020-03-23,AAPL,-0.021244,-0.026878
14593,2020-03-24,AAPL,0.100325,0.091556
14593,2020-03-25,AAPL,-0.005509,0.016379
14593,2020-03-26,AAPL,0.052623,0.057470
14593,2020-03-27,AAPL,-0.041402,-0.033038
14593,2020-03-30,AAPL,0.028538,0.029038
14593,2020-03-31,AAPL,-0.002041,-0.012277
14593,2020-04-01,AAPL,-0.052617,-0.045015
14593,2020-04-02,AAPL,0.016687,0.019501
14593,2020-04-03,AAPL,-0.014371,-0.015754
14593,2020-04-06,AAPL,0.087237,0.067894
14593,2020-04-07,AAPL,-0.011582,0.000476
14593,2020-04-08,AAPL,0.025595,0.033821
14593,2020-04-09,AAPL,0.007216,0.018252
14593,2020-04-13,AAPL,0.019628,-0.010146
14593,2020-04-14,AAPL,0.050503,0.028171
14593,2020-04-15,AAPL,-0.009127,-0.023057
14593,2020-04-16,AAPL,0.007946,0.004197
14593,2020-04-17,AAPL,-0.013569,0.027687
14593,2020-04-20,AAPL,-0.020757,-0.015553
14593,2020-04-21,AAPL,-0.030910,-0.029210
14593,2020-04-22,AAPL,0.028804,0.021875
14593,2020-04-23,AAPL,-0.003875,0.001250
14593,2020-04-24,AAPL,0.028870,0.013045
14593,2020-04-27,AAPL,0.000707,0.017511
14593,2020-04-28,AAPL,-0.016209,-0.002298
14593,2020-04-29,AAPL,0.032845,0.028865
14593,2020-04-30,AAPL,0.021096,-0.013076
14593,2020-05-01,AAPL,-0.016099,-0.028041
14593,2020-05-04,AAPL,0.014149,0.004810
14593,2020-05-05,AAPL,0.015009,0.008738
14593,2020-05-06,AAPL,0.010317,-0.005853
14593,2020-05-07,AAPL,0.010345,0.013322
14593,2020-05-08,AAPL,0.023737,0.018605
14593,2020-05-11,AAPL,0.015735,-0.000441
14593,2020-05-12,AAPL,-0.011428,-0.020370
14593,2020-05-13,AAPL,-0.012074,-0.019027
14593,2020-05-14,AAPL,0.006143,0.010302
14593,2020-05-15,AAPL,-0.005912,0.005234
14593,2020-05-18,AAPL,0.023561,0.033368
14593,2020-05-19,AAPL,-0.005778,-0.009706
14593,2020-05-20,AAPL,0.019448,0.017387
14593,2020-05-21,AAPL,-0.007455,-0.006646
14593,2020-05-22,AAPL,0.006438,0.002656
